wals code	name	latitude	longitude	genus	family	subfamily	iso codes
aab	Arapesh (Abu)	-3.45	142.95	Kombio-Arapesh	Torricelli		
aar	Aari	6	36.5833333333	South Omotic	Afro-Asiatic	Omotic	aiz
aba	Abau	-4	141.25	Upper Sepik	Sepik		aau
abb	Arabic (Abbéché Chad)	13.8333333333	20.8333333333	Semitic	Afro-Asiatic		shu
abd	Abidji	5.66666666667	-4.58333333333	Kwa	Niger-Congo		abi
abe	Arabic (Beirut)	33.9166666667	35.5	Semitic	Afro-Asiatic		apc
abh	Arabic (Bahrain)	26	50.5	Semitic	Afro-Asiatic		abv
abi	Abipón	-29	-61	Guaicuruan	Guaicuruan		axb
abk	Abkhaz	43.0833333333	41	Northwest Caucasian	Northwest Caucasian		abk
abm	Alabama	32.3333333333	-87.4166666667	Muskogean	Muskogean		akz
abn	Arabana	-28.25	136.25	Pama-Nyungan	Australian		ard
abo	Arbore	5	36.75	Eastern Cushitic	Afro-Asiatic	Cushitic	arv
abu	Abun	-0.5	132.5	North-Central Bird's Head	West Papuan		kgr
abw	Abenaki (Western)	44	-72.25	Algonquian	Algic		abe
abz	Abaza	44	42	Northwest Caucasian	Northwest Caucasian		abq
ace	Acehnese	5.5	95.5	Sundic	Austronesian	Western Malayo-Polynesian	ace
acg	Achagua	4.41666666667	-72.25	Arawakan	Arawakan		aca
ach	Aché	-25.25	-55.1666666667	Tupi-Guaraní	Tupian		guq
aci	Achí	15.1666666667	-90.5	Mayan	Mayan		acc acr
acl	Acholi	3	32.6666666667	Nilotic	Nilo-Saharan	Eastern Sudanic	ach
acm	Achumawi	41.5	-121	Palaihnihan	Hokan		acv
acn	Achang	25	98.5	Burmese-Lolo	Sino-Tibetan	Tibeto-Burman	acn
aco	Acoma	34.9166666667	-107.583333333	Keresan	Keresan		kjq
acu	Achuar	-3	-76	Jivaroan	Jivaroan		acu
ada	Adamorobe Sign Language	5.83333333333	-0.166666666667	Sign Languages	other		ads
adi	Adioukrou	5.41666666667	-4.58333333333	Kwa	Niger-Congo		adj
adk	Andoke	-0.666666666667	-72	Andoke	Andoke		ano
adn	Adynyamathanha	-30.5	139.5	Pama-Nyungan	Australian		adt
adt	Adyghe (Temirgoy)	45.2166666667	39.7	Northwest Caucasian	Northwest Caucasian		ady
ady	Adyghe (Abzakh)	45.2333333333	40.5833333333	Northwest Caucasian	Northwest Caucasian		ady
adz	Adzera	-6.25	146.25	Oceanic	Austronesian	Eastern Malayo-Polynesian	azr
aea	Aleut (Eastern)	54.75	-164	Aleut	Eskimo-Aleut		ale
aeg	Arabic (Egyptian)	30	31	Semitic	Afro-Asiatic		arz
ael	Arabic (Eastern Libyan)	32	22	Semitic	Afro-Asiatic		ayl
afr	Afrikaans	-31	22	Germanic	Indo-European		afr
aga	Agarabi	-6.16666666667	146	Eastern Highlands	Trans-New Guinea		agd
agc	Agta (Central)	17.9666666667	121.833333333	Northern Philippines	Austronesian	Western Malayo-Polynesian	agt
agh	Aghem	6.66666666667	10	Bantoid	Niger-Congo	Benue-Congo	agq
agl	Aghul	41.75	47.6666666667	Lezgic	Nakh-Daghestanian	Daghestanian	agx
agm	Angami	25.6666666667	94.5	Kuki-Chin-Naga	Sino-Tibetan	Tibeto-Burman	njm nri
ago	Angolar	0.25	6.5	Creoles and Pidgins	other		aoa
agr	Aguaruna	-5	-78	Jivaroan	Jivaroan		agr
agt	Anguthimri	-12.3333333333	141.833333333	Pama-Nyungan	Australian		lnj
agu	Aguacatec	15.4166666667	-91.3333333333	Mayan	Mayan		agu
agw	Alagwa	-5.5	35.75	Southern Cushitic	Afro-Asiatic	Cushitic	wbj
aho	Arapaho	40	-103	Algonquian	Algic		arp
ahs	Arabic (Bani-Hassan)	20	-10	Semitic	Afro-Asiatic		mey
aht	Ahtna	62	-145	Athapaskan	Na-Dene		aht
ahu	Aghu	-6.16666666667	140.166666667	Awju-Dumut	Trans-New Guinea		ahh
aik	Aikaná	-12.6666666667	-60.6666666667	Arawakan	Arawakan		tba
ain	Ainu	43	143	Ainu	Ainu		ain
aiz	Aizi	5.25	-4.5	Kru	Niger-Congo		ahp
aja	Aja	7.33333333333	25.6666666667	Kresh	Nilo-Saharan	Central Sudanic	aja
aji	Ajië	-21.3333333333	165.5	Oceanic	Austronesian	Eastern Malayo-Polynesian	aji
aka	Aka	2.66666666667	16.25	Bantoid	Niger-Congo	Benue-Congo	axk
akb	Aka-Biada	11.6666666667	92.5	Great Andamanese	Great Andamanese		abj
akc	Aka-Cari	13.5	93	Great Andamanese	Great Andamanese		aci
akh	Akha	21.8333333333	99.8333333333	Burmese-Lolo	Sino-Tibetan	Tibeto-Burman	ahk
akk	Aka-Kede	12.75	92.75	Great Andamanese	Great Andamanese		akx
akl	Aklanon	11.5833333333	122.333333333	Meso-Philippine	Austronesian	Western Malayo-Polynesian	akl
akm	Arakanese (Marma)	21.5	92.5	Burmese-Lolo	Sino-Tibetan	Tibeto-Burman	mhv
akn	Akan	6.5	-1.25	Kwa	Niger-Congo		aka
ako	Arabic (Kormakiti)	35.25	33.5	Semitic	Afro-Asiatic		acy
akr	Arikara	45.5	-100.5	Caddoan	Caddoan		ari
akw	Akawaio	6	-59.5	Cariban	Cariban		ake
ala	Alamblak	-4.66666666667	143.333333333	Sepik Hill	Sepik		amp
alb	Albanian	41	20	Albanian	Indo-European		aln als
alc	Allentiac	-31	-68	Huarpe	Huarpe		
ald	Alladian	5.16666666667	-4.33333333333	Kwa	Niger-Congo		ald
ale	Aleut	54	-166	Aleut	Eskimo-Aleut		ale
alg	Algonquin	46	-77	Algonquian	Algic		alq
alk	Arop-Lokep	-5.38333333333	147.05	Oceanic	Austronesian	Eastern Malayo-Polynesian	apr
all	Ala'ala	-8.91666666667	146.75	Oceanic	Austronesian	Eastern Malayo-Polynesian	nrz
aln	Alune	-3	128.333333333	Central Malayo-Polynesian	Austronesian		alp
als	Alsea	44.6666666667	-123.916666667	Alsea	Oregon Coast		aes
alt	Alsatian	48.5	7.5	Germanic	Indo-European		gsw
alu	Alutor	61	165	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan		alr
alw	Alawa	-15.1666666667	134.25	Maran	Australian		alh
alx	Alas	3.66666666667	97.8333333333	Sundic	Austronesian	Western Malayo-Polynesian	btz
aly	Alyawarra	-22.5	135	Pama-Nyungan	Australian		aly
ama	Amara	-5.66666666667	148.5	Oceanic	Austronesian	Eastern Malayo-Polynesian	aie
amb	Ambulas	-3.83333333333	143	Middle Sepik	Sepik		abt
amc	Amahuaca	-10.5	-72.5	Panoan	Panoan		amc
amd	Amdo	35	100	Bodic	Sino-Tibetan	Tibeto-Burman	adx
ame	Amele	-5.25	145.583333333	Madang	Trans-New Guinea		aey
amh	Amharic	10	38	Semitic	Afro-Asiatic		amh
ami	Amis	23.3333333333	121.333333333	Paiwanic	Austronesian		ami
amk	Amarakaeri	-12.5	-70.5	Harakmbet	Harakmbet		amr
aml	Ambae (Lolovoli Northeast)	-15.4166666667	167.883333333	Oceanic	Austronesian	Eastern Malayo-Polynesian	omb
amn	Amanab	-3.58333333333	141.25	Border	Border		amn
amo	Amo	10.3333333333	8.66666666667	Kainji	Niger-Congo	Benue-Congo	amo
amp	Arrernte (Mparntwe)	-24	136	Pama-Nyungan	Australian		aer
amq	Ambai	-1.83333333333	136.5	South Halmahera - West New Guinea	Austronesian	Eastern Malayo-Polynesian	amk
amr	Arabic (Moroccan)	34	-6	Semitic	Afro-Asiatic		ary
ams	Arabic (Modern Standard)	25	42	Semitic	Afro-Asiatic		arb
amu	Amuesha	-10.5	-75.4166666667	Arawakan	Arawakan		ame
amx	Anamuxra	-4.66666666667	145	Madang	Trans-New Guinea		imi
amz	Amuzgo	16.8333333333	-98	Amuzgoan	Oto-Manguean		amu
ana	Araona	-12.3333333333	-67.75	Tacanan	Tacanan		aro
anc	Angas	9.5	9.5	West Chadic	Afro-Asiatic	Chadic	anc
ane	Anêm	-5.58333333333	149.083333333	Anêm	Anem		anz
ang	Anggor	-3.75	141.166666667	Senagi	Senagi		agg
ani	//Ani	-18.9166666667	21.9166666667	Central Khoisan	Khoisan		hnh
anj	Anejom	-20.2	169.8	Oceanic	Austronesian	Eastern Malayo-Polynesian	aty
anl	Arabic (North Levantine Spoken)	33.75	36	Semitic	Afro-Asiatic		apc
ann	Anindilyakwa	-14	136.5	Anindilyakwa	Australian	Gunwinyguan	aoi
ano	Anong	27.3333333333	98.75	Nungish	Sino-Tibetan	Tibeto-Burman	nun
ant	Angaatiha	-7.21666666667	146.25	Angan	Trans-New Guinea		agm
anu	Anufo	10.0833333333	0.25	Kwa	Niger-Congo		cko
anx	Andi	42.75	46.25	Avar-Andic-Tsezic	Nakh-Daghestanian	Daghestanian	ani
any	Anywa	8	33.5	Nilotic	Nilo-Saharan	Eastern Sudanic	anu
ao	Ao	26.5833333333	94.6666666667	Kuki-Chin-Naga	Sino-Tibetan	Tibeto-Burman	njo
